# START TIME  : 2014/03/21 18:28:57.936
# FILE NAME : 20140321/20140321182857_Unknown#03_Maxwell_14_MC2 0321.log
TIME                    STEP_Counter            1000T_Gauge             10T_Gauge               1000mT_Gauge            ManiFold_Press          GFS_Posit               GFS_Cntr_Flow           GFS_Edge_Flow           GFS_Total_Flow          Top_Temp                Bottom_Temp             Top_RF_DsrPwr           Top_RF_FwdPwr           Top_RF_RefPwr           Top_Mat_FwdPwr          Top_Mat_RefPwr          BtmH_RF_DsrPwr          BtmH_RF_FwdPwr          BtmH_RF_RefPwr          BtmH_Mat_FwdPwr         BtmH_Mat_RefPwr         BtmL_RF_DsrPwr          BtmL_RF_FwdPwr          BtmL_RF_RefPwr          BtmL_Mat_FwdPwr         BtmL_Mat_RefPwr         Top_RF_Vdc              Top_RF_Vpp              Top_RF_Irms             Btm_High_RF_Vdc         Btm_High_RF_Vpp         Btm_High_RF_Irms        Btm_Low_RF_Vdc          Btm_Low_RF_Vpp          Btm_Low_RF_Irms         Top_RF_Cap1Pos          Top_RF_Cap2Pos          Btm_High_RF_Cap1Pos     Btm_High_RF_Cap2Pos     Btm_Low_RF_Cap1Pos      Btm_Low_RF_Cap2Pos      HTR_Temp.               HTR_Output              HTR2_Temp.              HTR2_Output             GAS01_Flow              GAS02_Flow              GAS03_Flow              GAS04_Flow              GAS05_Flow              GAS06_Flow              GAS07_Flow              GAS08_Flow              GAS09_Flow              GAS10_Flow              GAS11_Flow              GAS12_Flow              GAS13_Flow              GAS14_Flow              GAS15_Flow              GAS16_Flow              BC1_Press.              BC1_Flow                BC1_LkFlw               BC1_LkLmt               BC2_Press.              BC2_Flow                BC2_LkFlw               BC2_LkLmt               CHL1_Temp.              CHL2_Temp.              eESC_Volt               eESC_CntTapV            eESC_PosOut             eESC_NegOut             eTVP_Press              eTVP_Posit              Pin_PosSts              ESC_Condition           Phase                   Shutter                 
0:0:0.1            1                       0.100                   -0.001                  0.850                   0.226                   100.000                 4.407                   7.241                   11.369                  140.438                 21.313                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   50.000                  50.000                  50.000                  50.000                  50.000                  50.000                  59.900                  10.400                  140.500                 42.200                  -0.472                  0.521                   0.000                   0.001                   2.686                   0.000                   0.020                   0.885                   0.098                   -0.610                  0.330                   -0.016                  0.000                   0.085                   0.074                   0.031                   0.242                   0.000                   0.000                   30.113                  0.452                   0.659                   0.000                   43.834                  90.100                  19.800                  0.000                   0.000                   0.000                   0.000                   0.500                   100.000                 AtDown                  Released                -180.000                Closed                  
0:0:0.2            1                       0.100                   -0.001                  0.850                   0.226                   100.000                 144.509                 140.160                 11.369                  140.188                 21.375                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   50.000                  50.000                  50.000                  50.000                  50.000                  50.000                  59.900                  10.400                  140.500                 43.100                  1.465                   0.513                   0.000                   0.516                   3.113                   0.000                   0.028                   9.045                   0.134                   -0.671                  0.256                   0.000                   -0.244                  0.079                   0.080                   0.028                   12.998                  10.038                  0.000                   30.113                  25.393                  29.016                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.000                   0.000                   0.500                   100.000                 AtDown                  Released                -180.000                Closed                  
0:0:0.3            1                       0.100                   -0.001                  0.850                   0.233                   43.083                  207.687                 212.627                 382.393                 140.188                 21.375                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   50.000                  50.000                  50.000                  50.000                  50.000                  50.000                  59.900                  10.400                  140.300                 55.200                  -0.114                  0.476                   0.000                   0.164                   3.357                   0.000                   0.016                   -0.378                  8.032                   -0.488                  0.330                   0.000                   -0.163                  0.083                   0.069                   0.026                   12.286                  17.004                  0.000                   30.113                  21.739                  54.358                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.000                   0.000                   0.500                   100.000                 AtDown                  Released                -180.000                Closed                  
0:0:0.4            1                       0.100                   -0.001                  0.850                   0.238                   43.083                  188.435                 203.135                 382.393                 140.188                 21.375                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   49.540                  49.210                  50.000                  50.000                  50.000                  50.000                  59.900                  10.400                  140.200                 61.100                  -0.354                  0.513                   0.000                   0.933                   3.418                   0.000                   0.024                   -2.625                  2.771                   -0.610                  0.256                   -0.008                  0.000                   0.088                   0.077                   0.020                   12.526                  23.083                  0.000                   30.113                  19.501                  56.014                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.000                   0.000                   0.500                   100.000                 AtDown                  Released                -180.000                Closed                  
0:0:0.5            1                       0.100                   -0.001                  1.350                   0.256                   43.083                  145.138                 168.608                 382.393                 140.438                 21.375                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   49.540                  49.210                  50.000                  50.000                  50.000                  50.000                  59.900                  10.400                  140.500                 43.100                  -0.452                  0.517                   0.000                   9.667                   1.831                   0.000                   0.020                   -3.070                  30.688                  -0.549                  0.293                   -0.016                  -0.163                  0.081                   0.077                   0.025                   13.676                  25.248                  0.000                   30.113                  18.801                  50.944                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.000                   0.000                   0.500                   100.000                 AtDown                  Released                -180.000                Closed                  
0:0:0.6            1                       0.100                   -0.001                  1.850                   0.276                   43.083                  129.020                 155.164                 382.393                 140.375                 21.313                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   41.350                  41.540                  49.260                  48.310                  50.000                  50.000                  59.900                  10.400                  140.500                 43.100                  -0.444                  0.566                   0.000                   12.766                  2.808                   0.000                   0.033                   -3.229                  116.162                 -0.549                  0.220                   0.000                   -0.081                  0.085                   0.074                   0.032                   14.565                  28.516                  0.000                   30.113                  20.746                  50.309                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.000                   0.000                   0.500                   69.500                  AtDown                  Released                -180.000                Closed                  
0:0:0.7            1                       0.100                   -0.001                  2.350                   0.291                   43.083                  135.951                 164.316                 382.393                 140.375                 21.313                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   41.350                  41.540                  49.260                  48.310                  50.000                  50.000                  59.900                  10.400                  140.400                 48.300                  1.554                   0.545                   0.000                   13.774                  2.991                   0.000                   0.033                   -0.214                  136.560                 -0.732                  0.183                   0.000                   -0.407                  0.079                   0.077                   0.020                   15.594                  29.671                  0.000                   30.113                  22.443                  52.242                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.001                   0.000                   2.200                   69.500                  AtDown                  Released                -180.000                Closed                  
0:0:0.8            1                       0.100                   -0.001                  2.600                   0.311                   45.378                  147.910                 181.400                 306.765                 140.250                 21.250                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   32.370                  36.070                  49.260                  48.310                  50.000                  50.000                  59.900                  10.400                  140.400                 48.600                  10.205                  0.517                   0.000                   14.510                  3.052                   0.000                   0.024                   9.845                   142.407                 -0.671                  0.330                   -0.016                  -0.244                  0.083                   0.076                   0.031                   16.423                  30.888                  0.000                   30.113                  23.798                  55.119                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.001                   0.000                   2.200                   69.500                  AtDown                  Released                -180.000                Closed                  
0:0:0.9            1                       0.100                   -0.001                  2.850                   0.328                   45.378                  154.235                 195.653                 306.765                 140.250                 21.250                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   32.370                  36.070                  42.020                  36.090                  50.000                  50.000                  59.900                  10.400                  140.300                 54.900                  12.830                  0.505                   0.000                   14.904                  2.625                   0.000                   0.020                   15.424                  147.961                 -0.610                  0.366                   -0.016                  -0.163                  0.083                   0.076                   0.035                   16.919                  31.482                  0.000                   30.113                  25.006                  57.296                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.001                   0.000                   2.200                   69.500                  AtDown                  Released                -180.000                Closed                  
0:0:1.0            1                       0.100                   -0.001                  3.100                   0.336                   45.378                  156.539                 203.106                 306.765                 140.438                 21.250                  0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   0.000                   32.370                  36.070                  42.020                  36.090                  50.000                  50.000                  59.900                  10.400                  140.300                 57.300                  14.038                  0.456                   0.000                   14.987                  2.625                   0.000                   0.020                   19.086                  149.487                 -0.610                  0.256                   -0.016                  -0.407                  0.078                   0.077                   0.031                   17.487                  32.605                  0.000                   30.113                  25.606                  58.244                  0.000                   43.834                  90.000                  19.900                  0.000                   0.000                   0.001                   0.000                   2.200                   69.500                  AtDown                  Released                -180.000                Closed                  
